Data,PL,Cota_liq,Saldo_cotas,PL_clean,PL_carteira
2021-07-15,400000.0,1.0,400000.0,400000.0,400000.0
2021-07-16,400000.0,0.9997792,400000.0,400000.0,399911.67
2021-07-19,399911.67,0.9994784,400000.0,399911.67,399791.36
2021-07-20,399791.36,0.9956992,400000.0,399791.36,398279.66
2021-07-21,398279.66,0.991831,1912354.423284,398279.66,1896732.4
